§	ID	Type	Rarity	Name	Description
	# Addons				
	# Killers				
	# K01 The Trapper				
	KillerAddon_K01TheTrapper_Addon_01	Killer Addon	Common	Bear Oil	Melted animal fat that can lubricate the Bear Trap squeaky joints.\n\n<indent=10%>- Setting a <b>Bear Trap</b> is silent.</indent>
	KillerAddon_K01TheTrapper_Addon_02	Killer Addon	Common	Makeshift Wrap	A scratched and worn brace made of thick, cured animal skin.\n\n<indent=10%>- You are no longer caught in your own <b><b>Bear Trap</b>s</b>, they are automatically disarmed instead.
	KillerAddon_K01TheTrapper_Addon_03	Killer Addon	Common	Padded Jaws	These padded jaws are meant to restrain, not to wound.\n\n<indent=10%>- <b><b>Bear Trap</b>s</b> immobilise <#e2ce97>Survivors</color><sprite=5> without damaging them.</indent>\n<indent=10%>- Grants <#e8c252>100%</color> bonus <#e2ce97>Bloodpoints</color><sprite=14> for trapping <#e2ce97>Survivors</color><sprite=5>.
	KillerAddon_K01TheTrapper_Addon_04	Killer Addon	Common	Trapper Gloves	Protective padded leather gloves.\n\n<indent=10%>- <b>Increases</b> the Setting speed of the <b>Bear Trap</b> by <#e8c252>+30%</color>.
	KillerAddon_K01TheTrapper_Addon_05	Killer Addon	Uncommon	4-Coil Spring Kit	A replacement kit for Bear Trap which changes the usual dual spring system to four coil springs, adding a great amount of strength to the Bear Traps hold.\n\n<indent=10%>- <b>Increases</b> the Disarm time of the <b>Bear Trap</b> by <#e8c252>+33 %</color>.
	KillerAddon_K01TheTrapper_Addon_06	Killer Addon	Uncommon	Coffee Grounds	An old rusted can containing damp coffee grounds.\n\n<indent=10%>- <b>Increases</b> the strength of the <#e2ce97>Haste</color><sprite=1> <b>Status Effect</b> after setting a <b>Bear Trap</b> by <#e8c252>+5 %</color> .
	KillerAddon_K01TheTrapper_Addon_07	Killer Addon	Uncommon	Lengthened Jaws	Jaws with long teeth that dig further into the flesh than a conventional <b>Bear Traps</b>.\n\n<indent=10%>- <#e2ce97>Survivors</color><sprite=5> who escape from <b>Bear Traps</b> suffer from the <#e2ce97>Deep Wound</color><sprite=2> <b>Status Effect</b>.
